title;artist;album;platform;isFound
"Cold Hard Bitch";Jet;"Get Born";applemusicapp;1
"Cold Hard Bitch (Live)";Jet;"Get Born";applemusicapp;1
Collapsed;"Aly & AJ";"Into the Rush";applemusicapp;1
"Collard Greens (feat. Kendrick Lamar)";"ScHoolboy Q";"Oxymoron (Deluxe Version)";applemusicapp;1
"College Kids";"Relient K";"Two Lefts Don't Make A Right...But Three Do";applemusicapp;1
"Collide (Acoustic Version)";"Howie Day";"Stop All the World Now";applemusicapp;1
Colors;"Jason Derulo";"Colors - Single";applemusicapp;1
"Colt 45";Afroman;"The Good Times";applemusicapp;0
"Come & Get It";"Selena Gomez";"Come & Get It - Single";applemusicapp;1
"Come & Get It (Cosmic Dawn Club Remix)";"Selena Gomez";"Slow Down - EP";applemusicapp;1
"Come And Get It";Krewella;;applemusicapp;1
"Come and Get Your Love (From the ""Guardians of the Galaxy"" Original Motion Picture Soundtrack) [Re-Recorded]";Redbone;"Flashback - One Hit Wonders";applemusicapp;1
"Come and See Me (feat. Drake)";PARTYNEXTDOOR;"PARTYNEXTDOOR 3 (P3)";applemusicapp;1
"Come Around Again";Jet;"Get Born";applemusicapp;1
"Come As You Are";Nirvana;"100 Greatest Rock Songs Of The 90s";applemusicapp;1
"Come Back To Me";"Vanessa Hudgens";V;applemusicapp;1
"Come Back To Me -spec";"pro Vanessa Hudgens";V;applemusicapp;1
"Come Back... Be Here";"Taylor Swift";"Red Deluxe Edition";applemusicapp;1
"Come Clean [Remix 2005]";"Hilary Duff";"Most Wanted";applemusicapp;1
"Come Get Her";"Rae Sremmurd";SremmLife;applemusicapp;1
"Come Get It Bae";"Pharrell Williams";"G I R L";applemusicapp;1
"Come Home";OneRepublic;"Dreaming Out Loud";applemusicapp;1
"Come My Way (feat. Drake)";"Fetty Wap";"Come My Way (feat. Drake) - Single";applemusicapp;0
"Come N Go";"Pitbull Ft. Enrique Iglesias";Pitbull-Planet.Pit-Super.Deluxe.Edition-2011-[NoFS];applemusicapp;0
"Come on Eileen";"Dexys Midnight Runners";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"Come On Eileen";"Dexy's Midnight Runners";;applemusicapp;1
"Come On Girl";"Taio Cruz";Rokstarr;applemusicapp;1
"Come On, Come On";"Smash Mouth";"All Star Smash Hits";applemusicapp;1
"Come One, Come All";"All Time Low";"So Wrong, It's Right";applemusicapp;1
"Come Out And Play";"The Offspring";"100 Greatest Rock Songs Of The 90S";applemusicapp;1
"Come Over (Interlude)";"Danity Kane";"Danity Kane";applemusicapp;1
"Come Right Out And Say It";"Relient K";"Five Score And Seven Years Ago";applemusicapp;1
"Come Sail Away";Styx;;applemusicapp;1
"Come So Far (Got So Far To Go)";"Queen Latifah, Nikki Blonsky, Zac Efron & Elijah Kelly";"Hairspray (Soundtrack to the Motion Picture)";applemusicapp;0
"Come Wake Me Up";"Rascal Flatts";Changed;applemusicapp;1
"Come What May";"London Session Orchestra, Nicole Kidman, Cecilia Weston & Ewan McGregor";"Moulin Rouge (Soundtrack from the Motion Picture)";applemusicapp;0
"Comeback Kid";"Brett Dennen";Loverboy;applemusicapp;1
"Comedy Central Presents";"Dane Cook";"Comedy Central Presents";applemusicapp;0
"Comedy Central Presents Uncut";"Dane Cook";"Comedy Central Presents Uncut";applemusicapp;0
"Comin' Home";"Tim McGraw";"Let It Go";applemusicapp;1
"Coming Back For More";"Ashlee Simpson";"I Am Me";applemusicapp;1
"Coming Back For You";"Maroon 5";"V (Deluxe Version)";applemusicapp;1
"Coming Home";"Diddy Dirty Money";;applemusicapp;1
Company;"Justin Bieber";"Purpose (Deluxe)";applemusicapp;1
"Complainte de la Butte";"Rufus Wainwright";"Music From Baz Luhrmann's Film Moulin Rouge (Original Motion Picture Soundtrack)";applemusicapp;0
Complicated;"Avril Lavigne";"Let Go";applemusicapp;1
"Con Calma (feat. Snow) [Remix]";"Daddy Yankee & Katy Perry";"Con Calma (feat. Snow) [Remix] - Single";applemusicapp;1
"Conceal, Don't Feel";"Christophe Beck";"Frozen (Deluxe Edition) (CD1)";applemusicapp;0
"Conceal, Don't Feel";"Christophe Beck";"Frozen (Original Motion Picture Soundtrack)";applemusicapp;0
"Concerto in D Minor for Two Violins and Orchestra, BWV 1043: II. Largo, ma non tanto";"Isaac Stern, Itzhak Perlman, Zubin Mehta & New York Philharmonic";"Bach: ""Double"" Concerto for Two Violins In D Minor & Violin Concertos Nos. 1 & 2";applemusicapp;1
"Concerto in E Minor for Violin and Orchestra, Op. 64: I. Allegro molto Appassionato (Attacca)";"Scottish Chamber Orchestra, Jaime Laredo & Alexander Shelley";"Mendelssohn: Concertos and Sonatas";applemusicapp;1
"Concerto No. 5 in E-Flat Major for Piano and Orchestra, Op. 73, ""Emperor"": II. Adagio un poco mosso (attacca)";"City of London Sinfonia, Cristina Ortiz & Richard Hickox";"Beethoven - 100 Supreme Classical Masterpieces: Rise of the Masters";applemusicapp;1
Confident;"Demi Lovato";;applemusicapp;1
"Confusion And Frustration In Modern Times";"Sum 41";"Underclass Hero";applemusicapp;1
Congratulations;"Rachel Platten";"Fight Song - EP";applemusicapp;1
"Congratulations (feat. Quavo)";"Post Malone";"Stoney (Deluxe)";applemusicapp;1
"Congratulations Smack And Katy";"Reggie And The Full Effect";;applemusicapp;1
"Conquer the World (Motivational Speech)";"Fearless Motivation";"Uncommon Being (Motivational Speeches)";applemusicapp;1
Consequences;"Camila Cabello";Camila;applemusicapp;1
Consistency;"Fearless Motivation";"Consistency - Single";applemusicapp;1
"Constant Muse";"Denison Witmer";"Denison Witmer";applemusicapp;1
Constellations;"Jack Johnson";"In Between Dreams";applemusicapp;1
Contagious;"Avril Lavigne";"The Best Damn Thing";applemusicapp;1
Contemplate;"Wale ft Rihanna";"Attention Deficit";applemusicapp;0
Control;"Metro Station";"Metro Station";applemusicapp;1
Controlla;Drake;Views;applemusicapp;1
"The Conversation";"Motion City Soundtrack";"Even If It Kills Me";applemusicapp;1
"Conversations in the Dark (Violin Remix)";"John Legend & Lindsey Stirling";"John Legend x Lindsey Stirling: The Violin Remixes - Single";applemusicapp;0
"Conversations With My 13 Year Old Self";Pink;"I'm Not Dead";applemusicapp;1
Cool;"Soulja Boy";;applemusicapp;0
"Cool for the Summer";"Demi Lovato";"Cool for the Summer - Single";applemusicapp;1
"Cool Thing";"Rascal Flatts";"Me And My Gang";applemusicapp;1
"Cooler Than Me";"Mike Posner & the Brain Trust";"A Matter of Time";applemusicapp;0
"Cooler Than Me (Single Mix)";"Mike Posner";"31 Minutes to Takeoff";applemusicapp;1
Cooties;"Aimee Allen";"Hairspray (Soundtrack to the Motion Picture)";applemusicapp;1
"Cop Car";"Sam Hunt";Montevallo;applemusicapp;1
"Cop Car (Radio Edit)";"Keith Urban";"Promo Only Country Radio February";applemusicapp;1
Coppertone;"The Academy Is...";"Fast Times at Barrington High";applemusicapp;1
"Coronation Anthem No. 1, HWV 258 ""Zadok the Priest""";"Australian Brandenburg Orchestra, Brandenburg Choir & Paul Dyer";"Brandenburg Celebrates";applemusicapp;0
"Coronation Band Suite";"Christophe Beck";"Frozen (Deluxe Edition) (CD2)";applemusicapp;0
"Coronation Day";"Christophe Beck";"Frozen (Deluxe Edition) (CD1)";applemusicapp;0
"Coronation Day";"Christophe Beck";"Frozen (Original Motion Picture Soundtrack)";applemusicapp;0
"Cotton Club 2016";"B3nte, Mike Emilio & Modo";"Cotton Club 2016 - Single";applemusicapp;1
"Cotton Eyed Joe";Rednex;"Sports Illustrated For Kids: Gametime!";applemusicapp;0
"Count Your Last Blessings";"Sum 41";"Underclass Hero";applemusicapp;1
"Count'em One, Two, Three";"The Maine";"Can't Stop, Won't Stop";applemusicapp;0
"Counting Blue Cars";Dishwalla;"100 Greatest Rock Songs Of The 90s";applemusicapp;1
"Counting Stars";OneRepublic;Native;applemusicapp;1
"Country Boy's World";"Jason Aldean";"My Kinda Party";applemusicapp;1
"Country Girl (Shake it for Me)";"Luke Bryan";"Country Girl (Shake it for Me) - Single";applemusicapp;1
"Country Girl (Shake It for Me)";"Luke Bryan";"Tailgates & Tanlines";applemusicapp;1
"Country Grammar";Nelly;;applemusicapp;1
"Country Nation";"Brad Paisley";"Moonshine in the Trunk";applemusicapp;1
"Country Roads";"John Denver";;applemusicapp;1
"Cowboy Casanova";"Carrie Underwood";"Play On";applemusicapp;1
"Crack a Bottle";"Eminem Feat Dr. Dre & 50 Cent";;applemusicapp;0
"Cranes in the Sky";Solange;"A Seat at the Table";applemusicapp;1
"Crank Dat";"Soulja Boy";"Stacks On Deck";applemusicapp;1
"Crappy Love Song";"Theo Katzman";"Heartbreak Hits";applemusicapp;1
Crash;"Gwen Stefani";"Love, Angel, Music, Baby";applemusicapp;1
"Crash And Burn";"Thomas Rhett";;applemusicapp;1
"Crash Into Me";"Dave Matthews Band";"100 Greatest Rock Songs Of The 90S";applemusicapp;1
"Crash My Party";"Luke Bryan";"Crash My Party (Deluxe Version)";applemusicapp;1
"Crash The Party";"OK Go";"Oh No";applemusicapp;1
"Crash World";"Hilary Duff";"A Cinderella Story";applemusicapp;1
Crashed;Daughtry;Daughtry;applemusicapp;1
"Craving You (feat. Maren Morris)";"Thomas Rhett";"Life Changes";applemusicapp;1
Crawl;"Chris Brown";Grafitti;applemusicapp;1
"Crayons Can Melt On Us For All I Care";"Relient K";"Five Score And Seven Years Ago";applemusicapp;1
"Crazy (old)";"Gnarls Barkley";"2007 Grammy Nominees";applemusicapp;1
"Crazy (Simple Plan)";"Simple Plan";"Still Not Getting Any...";applemusicapp;1
"Crazy Amanda Bunkface";"Sum 41";"All Killer No Filler";applemusicapp;1
"Crazy Bitch";Buckcherry;15;applemusicapp;1
"Crazy For You";Madonna;"13 Going On 30";applemusicapp;1
"Crazy in Love";"Daniela Andrade";"Crazy in Love - Single";applemusicapp;1
"Crazy In Love";"Beyoncé Feat. Jay-Z";"Dangerously In Love";applemusicapp;1
"Crazy in Love (feat. Jay-Z)";Beyoncé;"Dangerously in Love";applemusicapp;1
"Crazy Kids";"Ke$ha/Juicy J";"Crazy Kids (Feat Juicy J) - Single";applemusicapp;0
"Crazy Little Thing Called Love";"Rihanna Feat. J-Status";"A Girl Like Me";applemusicapp;1
"Crazy Over Me";"Dylan Scott";"Crazy Over Me - Single";applemusicapp;1
"Crazy Possessive";Kaci;;applemusicapp;1
"Crazy Rap (Colt 45 & 2 Zig Zags)";Afroman;"The Good Times";applemusicapp;1
"Crazy Too";"Lucy Angel";"Lucy Angel";applemusicapp;1
"Crazy Train";"Ozzy Osbourne";"Blizzard of Ozz (Expanded Edition)";applemusicapp;1
"Creative License: Steinski's Rough Mix";"Various Artists";"Creative License: Steinski's Rough Mix";applemusicapp;0
Creep;Radiohead;"100 Greatest Rock Songs Of The 90s";applemusicapp;1
"The Crew Song";"John McMartin";"Anything Goes (New Broadway Cast Recording)";applemusicapp;1
Criminal;Eminem;"The Marshall Mathers LP";applemusicapp;1
Critic;"Mike Stud";;applemusicapp;1
"Crooked Smile (feat. TLC)";"J. Cole";"Born Sinner (Deluxe Version)";applemusicapp;1
"Crooked Teeth";"Death Cab for Cutie";Plans;applemusicapp;1
"Cross Me (feat. Chance the Rapper & PnB Rock)";"Ed Sheeran";"No.6 Collaborations Project";applemusicapp;1
"Crowded Room";"The Academy Is...";"Fast Times at Barrington High";applemusicapp;1
Crown;"JAY Z";"Magna Carta... Holy Grail";applemusicapp;1
"Cruel Summer";Bananarama;"VH1 100 Greatest Songs of 80’s";applemusicapp;1
Cruise;"Florida Georgia Line";"Here's To the Good Times (Deluxe Version)";applemusicapp;1
"Cruise (Live From Joe's Bar, Chicago/2012)";"Florida Georgia Line";"Here's To the Good Times (Deluxe Version)";applemusicapp;1
Crush;"David Archuleta";"David Archuleta: Debut Album";applemusicapp;1
Crushcrushcrush;Paramore;Riot!;applemusicapp;1
Cruz;"Christina Aguilera";Stripped;applemusicapp;1
Cry;"Hilary Duff";"Hilary Duff";applemusicapp;0
Cry;"Kelly Clarkson";"All I Ever Wanted";applemusicapp;1
"Cry On Demand";Gomez;"How We Operate";applemusicapp;1
Cryin';Aerosmith;"100 Greatest Rock Songs Of The 90s";applemusicapp;1
"Crystal Ball";Pink;Funhouse;applemusicapp;1
Cudderisback;"KiD CuDi";;applemusicapp;0
"CuDi Spazzin'";"KiD CuDi";"Plain Pat & Emile Presents a KiD named CuDi";applemusicapp;0
"Cudi Zone";"Kid Cudi";;applemusicapp;1
"CuDi Zone";"KiD CuDi";"Man On The Moon: The End Of Day";applemusicapp;1
"Cupid's Chokehold / Breakfast in America (Radio Mix) [feat. Patrick Stump]";"Gym Class Heroes featuring Patrick Stump";"Cupid's Chokehold - Single";applemusicapp;1
"Cupid's Got a Shotgun";"Carrie Underwood";"Blown Away";applemusicapp;1
"Cupids Chokehold";"Gym Class Heroes";"The Papercut Chronicles";applemusicapp;1
"The Cure";"Lady Gaga";"The Cure - Single";applemusicapp;1
"Curl Up & Die";"Relient K";"The Bird & The Bee Sides";applemusicapp;1
"The Curse Of Curves";"Cute Is What We Aim For";"The Same Old Blood Rush With A New Touch";applemusicapp;1
"Cut Her Off (feat. 2 Chainz)";"K CAMP";"In Due Time";applemusicapp;1
Cyclone;"Baby Bash";"Cyclone (feat. T-Pain) - single";applemusicapp;1
D.A.N.C.E;Justice;Justice;applemusicapp;1
"Da Da Ding (feat. Gizzle)";GENER8ION;"Da Da Ding (feat. Gizzle) - Single";applemusicapp;1
Daddy;Beyoncé;"Dangerously In Love";applemusicapp;1
Damaged;"Danity Kane";"Welcome to the Dollhouse";applemusicapp;1
Dammit;"Blink 182";"Dude Ranch";applemusicapp;1
Dammit;Blink-182;;applemusicapp;1
Damn;LIVVIA;"Damn - Single";applemusicapp;1
"Damn Girl";"The All-American Rejects";"When The World Comes Down";applemusicapp;1
"Damn You Look Good And I'm Drunk (Scandalous)";"Cobra Starship";"¡Viva La Cobra!";applemusicapp;1
"Damned If I Do Ya (Damned If I Dont)";"All Time Low";"Nothing Personal";applemusicapp;1
"Dance (A*$)";"Big Sean";"Finally Famous (Deluxe Edition)";applemusicapp;1
"Dance (A$$) [Remix] [feat. Nicki Minaj]";"Big Sean";"Finally Famous (Super Deluxe Edition)";applemusicapp;1
"Dance Again";"Jennifer Lopez Feat. Pitbull";"Dance Again";applemusicapp;1
"Dance All Night (UK Edit)";"Jessica Wright";"The Workout Mix - Summer Fit CD2";applemusicapp;0
"Dance Dance";"Fall Out Boy";;applemusicapp;1
"Dance Floor Anthem";"Good Charlotte";"Good Morning Revival";applemusicapp;1
"Dance Hall Drug";"Boys Like Girls";"Boys Like Girls";applemusicapp;1
"Dance Inside";"The All-American Rejects";"Move Along";applemusicapp;1
"Dance Monkey";"Tones And I";"The Kids Are Coming - EP";applemusicapp;1
"Dance With You";"Bowling For Soup";;applemusicapp;1
"Dance, Dance";"Fall Out Boy";"From Under the Cork Tree";applemusicapp;1
Dancehall;"Sean Bones";RINGS;applemusicapp;1
"Dancing Alone";"Ashlee Simpson";"I Am Me";applemusicapp;1
"Dancing In The Dark";Dev;"Dancing In The Dark  - Single";applemusicapp;1
"Dancing In The Street";"Martha Reeves & The Vandellas";"24 Greatest Hits";applemusicapp;1
"Dancing Through Life";"Norbert Leo Butz, Kristin Chenoweth, Christopher Fitzgerald, Michelle Federer, Idina Menzel, Ensemble";"Wicked: Original Broadway Cast";applemusicapp;1
"Dancing with a Stranger";"Sam Smith & Normani";"Dancing with a Stranger - Single";applemusicapp;1
"Dancing With Tears In My Eyes";Ke$ha;Animal;applemusicapp;1
Danger;"Hilary Duff";Dignity;applemusicapp;1
Dangerous;"Kardinal Offishall";"Dangerous (feat. Akon) - Single";applemusicapp;1
"Dangerous (feat. Sam Martin)";"David Guetta";"Dangerous (feat. Sam Martin) - Single";applemusicapp;1
"Dangerous To Know";"Hilary Duff";"Hilary Duff";applemusicapp;1
"Dangerous Woman";"Ariana Grande";"Dangerous Woman";applemusicapp;1
"Dangerously In Love 2";Beyoncé;"Dangerously In Love";applemusicapp;1
"Dani California";"Red Hot Chili Peppers";"Stadium Arcadium";applemusicapp;1
"Danza Kuduro";"Don Omar & Lucenzo";"Danza Kuduro - Single";applemusicapp;1
Dare;Gorillaz;"Demon Days";applemusicapp;1
"Dare You To Move";Switchfoot;"The Beautiful Letdown";applemusicapp;1
"Dark Blue";"Jack's Mannequin";"Everything In Transit";applemusicapp;1
"Dark Fantasy";"Kanye West";"My Beautiful Dark Twisted Fantasy";applemusicapp;1
"Dark Horse (feat. Juicy J)";"Katy Perry";"PRISM (Deluxe)";applemusicapp;1
"Dark Horse (Remix)";Palladium;;applemusicapp;0
"Dark Side";"Kelly Clarkson";"Dark Side - Single";applemusicapp;1
Dashboard;"Modest Mouse";"We Were Dead Before the Ship Even Sank";applemusicapp;1
"Dave's Possessed Hair-It's What We're All About";"Sum 41";"Half Hour Of Power";applemusicapp;0
Dawn;"Pride and Prejudice Score";;applemusicapp;0
"Day 'N' Nite";"Kid Cudi";"Day 'N' Nite - EP";applemusicapp;1
"Day 'N' Nite";"Kid Cudi";;applemusicapp;1
"The Day Before You";"Rascal Flatts";"Feels Like Today";applemusicapp;1
"The Day I Left the Womb";"Escape the Fate";"Dying Is Your Latest Fashion";applemusicapp;1
"A Day In The Life";"Lindsay Lohan";"Confessions Of A Teenage Drama Queen";applemusicapp;0
"Day n Nite";"Kid Cudi";;applemusicapp;1
"The Day That I Die";"Good Charlotte";"The Young And The Hopeless";applemusicapp;1
"The Day That I Die";"Good Charlotte";;applemusicapp;1
"The Day That Never Comes";Metallica;;applemusicapp;1
"Day-O (The Banana Boat Song)";"Harry Belafonte";Calypso;applemusicapp;1
"Daydream (feat. Chris Ho)";Ciele;"Daydream - Single";applemusicapp;1
Daylight;"Matt and Kim";"Green Label Sound";applemusicapp;1
Daylight;"Maroon 5";"Overexposed (Deluxe Version)";applemusicapp;1
"Days Like These";"Jason Aldean";"My Kinda Party";applemusicapp;1
"Days of the Old";"Every Avenue";"Shh. Just Go with It";applemusicapp;1
"Dayum, Baby";"Florida Georgia Line";"Here's To the Good Times (Deluxe Version)";applemusicapp;1
"De Zooya";Krunk;"De Zooya - Single";applemusicapp;1
Dead;"My Chemical Romance";;applemusicapp;1
"Dead And Gone";"T.I ft Justin Timberlake";"Paper Trail";applemusicapp;0
"Dead On Arrival";"Fall Out Boy";;applemusicapp;1
Dead!;"My Chemical Romance";"The Black Parade";applemusicapp;1
"Dear Boy";Avicii;;applemusicapp;1
"Dear Father";"Sum 41";"Underclass Hero";applemusicapp;1
"Dear Future Husband";"Meghan Trainor";"Title [EP]";applemusicapp;1
"Dear God";"Avenged Sevenfold";;applemusicapp;1
"Dear John";"Taylor Swift";"Speak Now (Deluxe Version)";applemusicapp;1
"Dear Maria, Count Me In";"All Time Low";"So Wrong, It's Right";applemusicapp;1
"Dear Maria, Count Me In";"All Time Low";;applemusicapp;1
"Dear Mr. President";"Pink Feat. Indigo Girls";"I'm Not Dead";applemusicapp;0
"Dear Old Shiz";"Wicked Cast";"Wicked: Original Broadway Cast";applemusicapp;1
"Dear Rosemary";"Foo Fighters";"Wasting Light";applemusicapp;1
"Death of a Bachelor";"Panic! At the Disco";"Death Of A Bachelor";applemusicapp;1
"Death of a Martian";"Red Hot Chili Peppers";"Stadium Arcadium";applemusicapp;1
Deathbed;"Relient K";"Five Score And Seven Years Ago";applemusicapp;1
December;"Collective Soul";"100 Greatest Rock Songs Of The 90S";applemusicapp;1
"December, 1963 (Oh, What A Night)";"The Four Seasons";;applemusicapp;1
Decisions;Borgore;;applemusicapp;1
"Deck the Rooftop (Glee Cast Version)";"Glee Cast";"Glee: The Music - The Christmas Album";applemusicapp;0
Decode;Paramore;"The Twilight Soundtrack";applemusicapp;1
Dedicate;"Lil Wayne";"Tha Carter V";applemusicapp;1
"Defying Gravity";"Kristin Chenoweth, Idina Menzel, Ensemble";"Wicked: Original Broadway Cast";applemusicapp;1
Degenerate;"Blink 182";"Dude Ranch";applemusicapp;1
"Deja Vu";Beyoncé;B'Day;applemusicapp;1
"Déjà Vu";"Mike Posner";"31 Minutes to Takeoff";applemusicapp;1
Deja-Vu;"Timmy Trumpet & Savage";"Deja-Vu - Single";applemusicapp;1
Deleter;Grouplove;Healer;applemusicapp;1
Delicate;"Taylor Swift";reputation;applemusicapp;1
"Delirious (Boneless) [feat. Kid Ink]";"Steve Aoki, Chris Lake & Tujamo";"Neon Future I";applemusicapp;1
"Delta 1406";"Mike Posner";"31 Minutes to Takeoff";applemusicapp;1
"Dem Haters";"Rihanna Feat. Dwane Husbands";"A Girl Like Me";applemusicapp;0
Demons;"Imagine Dragons";"Continued Silence - EP";applemusicapp;1
Demons;"Paris Blohm";;applemusicapp;1
Demons;"Alec Benjamin";"These Two Windows";applemusicapp;1
"Dental Care";"Owl City";"Ocean Eyes";applemusicapp;1
Depends;"Blink 182";"Cheshire Cat";applemusicapp;1
"An der schönen, blauen Donau - Walzer, Op.314 (1989 Remastered Version)";"Willi Boskovsky & Wiener Johann Strauss Orchester";"The Strausses of Vienna";applemusicapp;0
"Derezzed (Remix)";Avicii;;applemusicapp;0
"Desecration Smile";"Red Hot Chili Peppers";"Stadium Arcadium";applemusicapp;1
Deserve;"Christina Aguilera";Liberation;applemusicapp;1
Despacito;"Luis Fonsi & Daddy Yankee";VIDA;applemusicapp;1
"Despacito (feat. Justin Bieber) [Remix]";"Luis Fonsi & Daddy Yankee";VIDA;applemusicapp;1
Desperado;Eagles;;applemusicapp;1
"Desperation (feat. Jamie N Commons)";Eminem;"Marshall Mathers LP 2";applemusicapp;1
Despertar;"Aisha Duo";"Quiet Songs";applemusicapp;1
"Deux arabesques, L. 66: No. 1";"Henrik Måwe";"Classical Hits for Relaxing";applemusicapp;1
"Devastation And Reform";"Relient K";"Five Score And Seven Years Ago";applemusicapp;1
DEVIL;Shinedown;"ATTENTION ATTENTION";applemusicapp;1
"Devil In A New Dress (feat. Rick Ross)";"Kanye West";"My Beautiful Dark Twisted Fantasy";applemusicapp;1
"The Devil Went Down To Georgia";"Charlie Daniels";;applemusicapp;1
"Devil's Dance Floor";"Flogging Molly";Swagger;applemusicapp;1
Dgaf;"Mike Emilio & Modo";"Dgaf - Single";applemusicapp;1
"Diamond Dogs";Beck;"Moulin Rouge (Soundtrack from the Motion Picture)";applemusicapp;0
Diamonds;Rihanna;"Diamonds - Single";applemusicapp;1
"Diamonds (The Bimbo Jones Vocal Edit)";Rihanna;"The Workout Mix - Summer Fit CD1";applemusicapp;1
"Diamonds And Gold";"Mac Miller";"Blue Slide Park";applemusicapp;1
Diana;"One Direction";"Midnight Memories (The Deluxe Edition)";applemusicapp;1
Dibs;"Kelsea Ballerini";"The First Time";applemusicapp;1
"Dick Lips";"Blink 182";"Dude Ranch";applemusicapp;1
"Die a Happy Man";"Thomas Rhett";"Tangled Up";applemusicapp;1
"Die Walküre: The Ride of the Valkyries (From ""Apocalypse Now"")";"National Symphony Orchestra, Kennedy Center & Antal Doráti";"Hollywood Classics: Music From The Movies";applemusicapp;1
"Die Young";Ke$ha;;applemusicapp;1
"Die Young";Ke$ha;;applemusicapp;1
"Die Zauberflöte, K. 620, Act II: Der Hölle Rache kocht in meinen Herzen";"Hellen Kwon, Michael Halász & Failoni Kamarazenekar";"Mozart: Die Zauberflöte, K. 620 (Sélections)";applemusicapp;1
"The Difference (Motivational Speech)";"Fearless Motivation";"Greatest Hits Motivational Speeches";applemusicapp;1
"Different Breed (Motivational Speech)";"Fearless Motivation";"10% Human 90% Beast (Gym Motivational Speeches)";applemusicapp;1
"Different Drum";"Me First And The Gimme Gimmes";;applemusicapp;1
"A Different Side Of Me";"All Star Weekend";Diffrent;applemusicapp;0
"Dig Deeper (Motivational Speech)";"Fearless Motivation";"Uncommon Being (Motivational Speeches)";applemusicapp;1
"Dig It";"D Tent Boys";Holes;applemusicapp;0
"Diggin' Your Scene";"Smash Mouth";"All Star Smash Hits";applemusicapp;1
Dignity;"Hilary Duff";Dignity;applemusicapp;1
"Din Din Wo (Little Child)";"Habib Koité and Bamada";"Muso Ko";applemusicapp;0
Dinosaur;Ke$ha;Animal;applemusicapp;1
"Dip It Low";"Christina Milian";"It's About Time";applemusicapp;1
Dirrty;"Christina Aguilera";Stripped;applemusicapp;1
Dirt;"Florida Georgia Line";"Anything Goes";applemusicapp;1
"Dirt on My Boots";"Jon Pardi";"California Sunrise";applemusicapp;1
"Dirt Road Anthem";"Jason Aldean";"My Kinda Party";applemusicapp;1
"Dirt Road Diary";"Luke Bryan";"Crash My Party (Deluxe Version)";applemusicapp;1
"Dirty Dancer (Feat. Usher)";"Enrique Iglesias";Euphoria;applemusicapp;1
"Dirty Laundry";"Carrie Underwood";Storyteller;applemusicapp;1
"Dirty Little Secret";"The All-American Rejects";"Move Along";applemusicapp;1
"Dirty Little Secret";"The All-American Rejects";;applemusicapp;1
"Dirty Little Secret (Live from the Wiltern)";"The All-American Rejects";"Move Along";applemusicapp;1
"Dirty Little Secret spec";"pro The All-American Rejects";"Move Along";applemusicapp;0
"Dirty Old Town";"Craig Cardiff";"Goodnight (Go Home)";applemusicapp;1
Disarm;"The Smashing Pumpkins";"100 Greatest Rock Songs Of The 90s";applemusicapp;1
"Discipline (Motivational Speech)";"Fearless Motivation";"Greatest Hits Motivational Speeches";applemusicapp;1
"Discipline (Motivational Speech)";"Fearless Motivation";"10% Human 90% Beast (Gym Motivational Speeches)";applemusicapp;1
Disco;"Metro Station";"Metro Station";applemusicapp;1
"Disco Inferno";"50 Cent";"The Massacre";applemusicapp;1
Disconnected;"Lindsay Lohan";Speak;applemusicapp;1
Disconnected;"Pegboard Nerds";;applemusicapp;1
"Discovering the Waterfront";Silverstein;"Discovering the Waterfront";applemusicapp;1
Disease;"Matchbox Twenty";"Exile On Mainstream [Disc 2]";applemusicapp;1
Disenchanted;"My Chemical Romance";"The Black Parade";applemusicapp;1
Distance;"Karsh Kale";Realize;applemusicapp;1
Disturbia;Rihanna;"Good Girl Gone Bad: Reloaded";applemusicapp;1
"Divine Intervention";"Taking Back Sunday";"Louder Now";applemusicapp;1
"Divine Sorrow";"Wyclef Jean Ft Avicii";;applemusicapp;0
"Dixieland Delight";Alabama;"Greatest Hits, Vol. 2";applemusicapp;1
"DJ Got Us Fallin' In Love";Usher;Versus;applemusicapp;1
"DJ Interlude, Lupe Is Like, Run This Town Freestyle";"Lupe Fiasco";"Governor's Island, NYC 9-19-09";applemusicapp;0
"DNA (Kat Krazy Radio Edit)";"Little Mix";"The Workout Mix - Summer Fit CD2";applemusicapp;0
"Do It";"Nelly Furtado";Loose;applemusicapp;1
"Do It Again";"Smash Mouth";"All Star Smash Hits";applemusicapp;0
"Do It Till Your Face Hurts";"Dada Life";"Do It Till Your Face Hurts - Single";applemusicapp;1
"Do it to it";Cherish;"Do it to it - Single";applemusicapp;1
"do re mi";blackbear;"digital druglord";applemusicapp;1
"Do The John Wall";"Troop 41";"Troop 41";applemusicapp;1
"Do U Wanna?";"Mike Posner";"31 Minutes to Takeoff";applemusicapp;1
"Do What You Want";"OK Go";"Oh No";applemusicapp;1
"Do Ya Like";"Childish Gambino";;applemusicapp;0
"Do You Believe in Magic";"Aly & AJ";"Into the Rush";applemusicapp;0
"Do You Feel";"The Rocket Summer";"Do You Feel";applemusicapp;1
"Do You Know What I'm Seeing?""";"Panic at the Disco";"Pretty. Odd";applemusicapp;1
"Do You Mean (feat. Ty Dolla $ign & bülow)";"The Chainsmokers";"World War Joy";applemusicapp;1
"Do You Realize??";"The Flaming Lips";"Yoshimi Battles the Pink Robots";applemusicapp;1
"Do You Really Want To Hurt Me";"Culture Club";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
