title;artist;album;platform;isFound
"All I Want For Christmas Is You";"The Cheetah Girls";"Cheetah-Licious Christmas";applemusicapp;1
"All I Want Is You This Christmas";"'N Sync";"Home For Christmas";applemusicapp;0
"All In My Head (Flex) [feat. Fetty Wap]";"Fifth Harmony";"7/27 (Deluxe)";applemusicapp;1
"All Is Well";"Austin Basham";"Linton / / Oslo EP";applemusicapp;1
"All Messed Up";"Sum 41";"Does this Look Infected?";applemusicapp;1
"All Mine";"Kanye West";ye;applemusicapp;1
"All My Life";"Foo Fighters";"One By One";applemusicapp;1
"All My Rowdy Friends Are Coming Over Tonight";"Hank Williams, Jr.";"Hank Williams, Jr.: Greatest Hits, Vol. 2";applemusicapp;1
"All Night Long";"Lionel Richie";"VH1 100 Greatest Songs of 80’s";applemusicapp;1
"All Night Longer";"Sam Adams";;applemusicapp;1
"All Night Longer";"Sammy Adams";"All Night Longer - Single";applemusicapp;1
"All Night To Get There";"Rascal Flatts";"Nothing Like This";applemusicapp;1
"All Nightmare Long";Metallica;;applemusicapp;1
"All of Me";"John Legend";"Love in the Future";applemusicapp;1
"All of Me (Violin Remix)";"John Legend & Lindsey Stirling";"John Legend x Lindsey Stirling: The Violin Remixes - Single";applemusicapp;0
"All of the Above";Maino;;applemusicapp;0
"All Of The Lights";"Kanye West";"My Beautiful Dark Twisted Fantasy";applemusicapp;1
"All Of The Lights";"Kanye West";;applemusicapp;1
"All Of The Lights (Interlude)";"Kanye West";"My Beautiful Dark Twisted Fantasy";applemusicapp;1
"All Of This";"Blink 182";"Blink 182";applemusicapp;1
"All On Me";"Devin Dawson";"Dark Horse";applemusicapp;1
"All Or Nothing";"Theory of a Deadman";"Scars & Souvenirs";applemusicapp;1
"All Over The Road";"Easton Corbin";"Billboard Top 25 Country Songs 06-22-13";applemusicapp;1
"All Over You";Live;"100 Greatest Rock Songs Of The 90S";applemusicapp;1
"All Over You";LIVE;"Throwing Copper";applemusicapp;1
"All She's Got";"Sum 41";"All Killer No Filler";applemusicapp;1
"All Star";"Smash Mouth";;applemusicapp;1
"All Star";"Smash Mouth";"All Star Smash Hits";applemusicapp;1
"All Star";"Smash Mouth";"Astro Lounge";applemusicapp;1
"All Summer Long";"Kid Rock";;applemusicapp;1
"All Summer Long";"Kid Rock";???;applemusicapp;1
"All Talk";"KiD CuDi Ft. Chip Tha Ripper & Christian Bale";;applemusicapp;0
"All That I Got (The Make Up Song)";"Fergie Feat. Will.I.Am";"The Dutchess";applemusicapp;0
"All The Above";Maino;;applemusicapp;1
"all the good girls go to hell";"Billie Eilish";"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?";applemusicapp;1
"All The Little Lights";Passenger;"All The Little Lights";applemusicapp;1
"All The Little Lights (Acoustic)";Passenger;"All The Little Lights";applemusicapp;1
"All The Right Moves";"One Republic";"Waking Up";applemusicapp;1
"All the Small Things";"Blink 182";"Enema of the State";applemusicapp;1
"All The Small Things";Blink-182;;applemusicapp;1
"All The Stars";"Kendrick Lamar, SZA";"Black Panther The Album Music From And Inspired By";applemusicapp;1
"All These Lives";Daughtry;Daughtry;applemusicapp;1
"All These Things That I've Done";"The Killers";"Hot Fuss";applemusicapp;1
"All Through the Night";"Colin Donnell, Laura Osnes, Ward Billeisen, Josh Franklin, Daniel J. Edwards & William Ryall";"Anything Goes (New Broadway Cast Recording)";applemusicapp;1
"All Time Low";"Jon Bellion";"The Human Condition";applemusicapp;1
